src	dest	type	weight
Inappropriate	Inappropriate	∧	0
Inappropriate	Inappropriate	→	0
Inappropriate	Inappropriate	∨	4
Inappropriate	Safety	∧	0
Inappropriate	Safety	→	17
Inappropriate	Safety	∨	0
Inappropriate	Quality of food source	∧	7
Inappropriate	Quality of food source	→	0
Inappropriate	Quality of food source	∨	0
Inappropriate	Ensures safety and security	∧	1
Inappropriate	Ensures safety and security	→	0
Inappropriate	Ensures safety and security	∨	0
Inappropriate	Educational institutions	∧	1
Inappropriate	Educational institutions	→	0
Inappropriate	Educational institutions	∨	1
Inappropriate	Not specific to a particular topic	∧	0
Inappropriate	Not specific to a particular topic	→	1
Inappropriate	Not specific to a particular topic	∨	0
Inappropriate	not government intervention	∧	0
Inappropriate	not government intervention	→	1
Inappropriate	not government intervention	∨	0
Inappropriate	Promotes ethical and fair behavior	∧	0
Inappropriate	Promotes ethical and fair behavior	→	1
Inappropriate	Promotes ethical and fair behavior	∨	0
Inappropriate	Positive	∧	0
Inappropriate	Positive	→	1
Inappropriate	Positive	∨	0
Ensures safety and security	Inappropriate	∧	1
Ensures safety and security	Inappropriate	→	0
Ensures safety and security	Inappropriate	∨	0
Ensures safety and security	creates social, economic, or political challenges	∧	1
Ensures safety and security	creates social, economic, or political challenges	→	0
Ensures safety and security	creates social, economic, or political challenges	∨	0
Ensures safety and security	Safety	∧	2
Ensures safety and security	Safety	→	9
Ensures safety and security	Safety	∨	1
creates social, economic, or political challenges	Ensures safety and security	∧	1
creates social, economic, or political challenges	Ensures safety and security	→	0
creates social, economic, or political challenges	Ensures safety and security	∨	0
creates social, economic, or political challenges	Safety	∧	1
creates social, economic, or political challenges	Safety	→	17
creates social, economic, or political challenges	Safety	∨	0
Quality of food source	Inappropriate	∧	7
Quality of food source	Inappropriate	→	0
Quality of food source	Inappropriate	∨	0
Quality of food source	Ensures safety and security	∧	1
Quality of food source	Ensures safety and security	→	2
Quality of food source	Ensures safety and security	∨	0
Quality of food source	creates social, economic, or political challenges	∧	0
Quality of food source	creates social, economic, or political challenges	→	1
Quality of food source	creates social, economic, or political challenges	∨	0
Quality of food source	Safety	∧	0
Quality of food source	Safety	→	11
Quality of food source	Safety	∨	0
Quality of food source	Quality of food source	∧	8
Quality of food source	Quality of food source	→	1
Quality of food source	Quality of food source	∨	2
Quality of food source	Promotes healthy and sustainable lifestyle choices	∧	1
Quality of food source	Promotes healthy and sustainable lifestyle choices	→	0
Quality of food source	Promotes healthy and sustainable lifestyle choices	∨	0
Quality of food source	Fairness	∧	0
Quality of food source	Fairness	→	11
Quality of food source	Fairness	∨	0
